taxi_id,unique_key,taxi_company_borough,taxi_pick_up_location
66935031_taxi,66935031,Unspecified,"510 HUDSON STREET, MANHATTAN (NEW YORK), NY, 10014"
66930601_taxi,66930601,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66929498_taxi,66929498,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66927281_taxi,66927281,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66929484_taxi,66929484,Unspecified,"7 AVENUE AND WEST   38 STREET, MANHATTAN, NY, 10018"
66935048_taxi,66935048,Unspecified,"399 EAST   34 STREET, MANHATTAN (NEW YORK), NY, 10016"
66929621_taxi,66929621,BROOKLYN,"18 AVENUE AND 86 STREET, BROOKLYN, NY, 11214"
66929603_taxi,66929603,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66932998_taxi,66932998,MANHATTAN,"1501 BROADWAY, MANHATTAN (NEW YORK), NY, 10036"
66932999_taxi,66932999,MANHATTAN,"191 WEST   39 STREET, MANHATTAN (NEW YORK), NY, 10018"
66929499_taxi,66929499,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66929483_taxi,66929483,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66927415_taxi,66927415,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66931840_taxi,66931840,Unspecified,"413 7 AVENUE, MANHATTAN (NEW YORK), NY, 10001"
66930597_taxi,66930597,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66935051_taxi,66935051,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66927394_taxi,66927394,Unspecified,"1727 67 STREET, BROOKLYN, NY, 11204"
66927321_taxi,66927321,Unspecified,"BOWERY AND EAST HOUSTON STREET, MANHATTAN, NY, 10012"
66932900_taxi,66932900,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66930600_taxi,66930600,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66931733_taxi,66931733,Unspecified,"625 8 AVENUE, MANHATTAN (NEW YORK), NY, 10018"
66927291_taxi,66927291,Unspecified,"36 CENTRAL PARK SOUTH, MANHATTAN (NEW YORK), NY, 10019"
66931838_taxi,66931838,Unspecified,"69-10 34 AVENUE, QUEENS (WOODSIDE), NY, 11377"
66934063_taxi,66934063,Unspecified,"36 CENTRAL PARK SOUTH, MANHATTAN (NEW YORK), NY, 10019"
66928396_taxi,66928396,Unspecified,"620 AVENUE OF THE AMERICAS, MANHATTAN (NEW YORK), NY, 10011"
66928472_taxi,66928472,Unspecified,"37-06 69 STREET, QUEENS (WOODSIDE), NY, 11377"
66935057_taxi,66935057,Unspecified,"45C WILLIAMSBURG ST WEST, BROOKLYN, NY, 11249"
66928473_taxi,66928473,Unspecified,"32-02 83 STREET, QUEENS (EAST ELMHURST), NY, 11370"
66932913_taxi,66932913,Unspecified,"135-15 LEFFERTS BOULEVARD, QUEENS (SOUTH OZONE PARK), NY, 11"
66931729_taxi,66931729,Unspecified,"AVENUE A AND EAST    7 STREET, MANHATTAN, NY, 10009"
66929533_taxi,66929533,Unspecified,"249 EAST   48 STREET, MANHATTAN (NEW YORK), NY, 10017"
66934064_taxi,66934064,Unspecified,"221-15 HEMPSTEAD AVENUE, QUEENS (QUEENS VILLAGE), NY, 11429"
66930703_taxi,66930703,Unspecified,"Newark Liberty International Airport (EWR), 3 Brewster Rd, N"
66929532_taxi,66929532,Unspecified,"1262 LEXINGTON AVENUE, MANHATTAN (NEW YORK), NY, 10028"
66928394_taxi,66928394,Unspecified,"2153 8 AVENUE, MANHATTAN (NEW YORK), NY, 10026"
66927277_taxi,66927277,Unspecified,"212 WEST   83 STREET, MANHATTAN (NEW YORK), NY, 10024"
66928375_taxi,66928375,Unspecified,"708 7 AVENUE, MANHATTAN (NEW YORK), NY, 10036"
66929623_taxi,66929623,Unspecified,"89 TILLARY STREET, BROOKLYN, NY, 11201"
66931765_taxi,66931765,Unspecified,"BROADWAY AND WEST   72 STREET, MANHATTAN, NY, 10023"
66928449_taxi,66928449,Unspecified,"NATIONAL 9/11 MEMORIAL, MANHATTAN (NEW YORK) ,NY, 10007"
66935156_taxi,66935156,Unspecified,"400 EAST   14 STREET, MANHATTAN (NEW YORK), NY, 10009"
66927396_taxi,66927396,Unspecified,"274 JAY STREET, BROOKLYN, NY, 11201"
66934075_taxi,66934075,Unspecified,"158 9 STREET, BROOKLYN, NY, 11215"
66934076_taxi,66934076,Unspecified,"258 BOND STREET, BROOKLYN, NY, 11217"
66927395_taxi,66927395,Unspecified,"131 AVENUE A, MANHATTAN (NEW YORK), NY, 10009"
66930631_taxi,66930631,Unspecified,"2073 BROADWAY, MANHATTAN (NEW YORK), NY, 10023"
66935155_taxi,66935155,Unspecified,"78 BERGEN STREET, BROOKLYN, NY, 11201"
66933962_taxi,66933962,Unspecified,"848 BEDFORD AVENUE, BROOKLYN, NY, 11205"
66932912_taxi,66932912,Unspecified,"449 IRVING AVENUE, BROOKLYN, NY, 11237"
66933000_taxi,66933000,Unspecified,"495 WYTHE AVENUE, BROOKLYN, NY, 11249"
66927397_taxi,66927397,Unspecified,"156 SOUTH    4 STREET, BROOKLYN, NY, 11211"
66927398_taxi,66927398,Unspecified,"209 AVENUE A, MANHATTAN (NEW YORK), NY, 10009"
66928474_taxi,66928474,Unspecified,"444 EAST   12 STREET, MANHATTAN (NEW YORK), NY, 10009"
66930722_taxi,66930722,Unspecified,"207 AVENUE A, MANHATTAN (NEW YORK), NY, 10009"
66928471_taxi,66928471,Unspecified,"215 AVENUE A, MANHATTAN (NEW YORK), NY, 10009"
66928469_taxi,66928469,Unspecified,"215 AVENUE A, MANHATTAN (NEW YORK), NY, 10009"
66930724_taxi,66930724,Unspecified,"96 AVENUE A, MANHATTAN (NEW YORK), NY, 10009"
66931857_taxi,66931857,Unspecified,"109 SOUTH    5 STREET, BROOKLYN, NY, 11249"
66931856_taxi,66931856,Unspecified,"473 LAFAYETTE AVENUE, BROOKLYN, NY, 11205"
66933993_taxi,66933993,Unspecified,"533 HUDSON STREET, MANHATTAN (NEW YORK), NY, 10014"
66935056_taxi,66935056,Unspecified,"289 WASHINGTON AVENUE, BROOKLYN, NY, 11205"
66930632_taxi,66930632,Unspecified,"EAST   85 STREET AND LEXINGTON AVENUE, MANHATTAN, NY, 10028"
66929604_taxi,66929604,Unspecified,"484 9 AVENUE, MANHATTAN (NEW YORK), NY, 10018"
66929616_taxi,66929616,Unspecified,"THE BATTERY, MANHATTAN (NEW YORK) ,NY, 10004"
66931839_taxi,66931839,Unspecified,"EAST   53 STREET AND PARK AVENUE, MANHATTAN, NY, 10022"
66927292_taxi,66927292,Unspecified,"20 HUDSON YARDS, MANHATTAN (NEW YORK), NY, 10001"
66930723_taxi,66930723,Unspecified,"108 AVENUE A, MANHATTAN (NEW YORK), NY, 10009"
66933992_taxi,66933992,Unspecified,"6 AVENUE AND WEST    3 STREET, MANHATTAN, NY, 10014"
66929622_taxi,66929622,Unspecified,"125 AVENUE A, MANHATTAN (NEW YORK), NY, 10009"
66931742_taxi,66931742,Unspecified,"910 RIVERSIDE DRIVE, MANHATTAN (NEW YORK), NY, 10032"
66927276_taxi,66927276,Unspecified,"11 CARMINE STREET, MANHATTAN (NEW YORK), NY, 10014"
66927279_taxi,66927279,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66929538_taxi,66929538,Unspecified,"EAST   72 STREET AND MADISON AVENUE, MANHATTAN, NY, 10021"
66935081_taxi,66935081,Unspecified,"210 CLINTON WHARF, BROOKLYN, NY, 11231"
66934062_taxi,66934062,Unspecified,"6 AVENUE AND WEST   44 STREET, MANHATTAN, NY, 10036"
66929502_taxi,66929502,Unspecified,"53 EAST   14 STREET, MANHATTAN (NEW YORK), NY, 10003"
66928470_taxi,66928470,Unspecified,"EAST   47 STREET AND MADISON AVENUE, MANHATTAN, NY, 10017"
66933001_taxi,66933001,Unspecified,"5 AVENUE AND WEST   44 STREET, MANHATTAN, NY, 10017"
66930702_taxi,66930702,Unspecified,"170 CENTRAL PARK SOUTH, MANHATTAN (NEW YORK), NY, 10019"
66932914_taxi,66932914,Unspecified,"124 EAST   26 STREET, MANHATTAN (NEW YORK), NY, 10010"
66928395_taxi,66928395,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66930630_taxi,66930630,Unspecified,"433 EAST    6 STREET, MANHATTAN (NEW YORK), NY, 10009"
66927322_taxi,66927322,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66927323_taxi,66927323,Unspecified,"533 HUDSON STREET, MANHATTAN (NEW YORK), NY, 10014"
66935082_taxi,66935082,Unspecified,"533 HUDSON STREET, MANHATTAN (NEW YORK), NY, 10014"
66927282_taxi,66927282,Unspecified,"810 WEST  183 STREET, MANHATTAN (NEW YORK), NY, 10033"
66932934_taxi,66932934,Unspecified,"6 AVENUE AND WEST   52 STREET, MANHATTAN, NY, 10019"
66935139_taxi,66935139,Unspecified,"101-11 98 STREET, QUEENS (OZONE PARK), NY, 11416"
66935049_taxi,66935049,MANHATTAN,Unknown
66935047_taxi,66935047,Unspecified,"337 WEST   39 STREET, MANHATTAN (NEW YORK), NY, 10018"
66935080_taxi,66935080,Unspecified,"439 EAST   74 STREET, MANHATTAN (NEW YORK), NY, 10021"
66932903_taxi,66932903,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66935083_taxi,66935083,Unspecified,"BLEEKER STREET AND LAGUARDIA PLACE, MANHATTAN, NY, 10012"
66928352_taxi,66928352,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66935169_taxi,66935169,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66927320_taxi,66927320,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66930606_taxi,66930606,MANHATTAN,"180 ORCHARD STREET, MANHATTAN (NEW YORK), NY, 10002"
66931766_taxi,66931766,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66925025_taxi,66925025,Unspecified,"42 EAST   42 STREET, MANHATTAN (NEW YORK), NY, 10017"
66926109_taxi,66926109,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66919475_taxi,66919475,Unspecified,"2424 CROPSEY AVENUE, BROOKLYN, NY, 11214"
66921689_taxi,66921689,BRONX,"1497 WILLIAMSBRIDGE ROAD, BRONX, NY, 10461"
66923969_taxi,66923969,Unspecified,"212 KINGS HIGHWAY, BROOKLYN, NY, 11223"
66925122_taxi,66925122,Unspecified,"BOND STREET AND BOWERY, MANHATTAN, NY, 10012"
66919497_taxi,66919497,Unspecified,"BROADWAY AND WEST   85 STREET, MANHATTAN, NY, 10024"
66923970_taxi,66923970,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66924038_taxi,66924038,Unspecified,"227 WEST STREET, MANHATTAN (NEW YORK), NY, 10013"
66918328_taxi,66918328,Unspecified,"525 WEST END AVENUE, MANHATTAN (NEW YORK), NY, 10024"
66926125_taxi,66926125,BRONX,"961 EAST  174 STREET, BRONX, NY, 10460"
66922829_taxi,66922829,Unspecified,"256 MCGUINNESS BOULEVARD, BROOKLYN, NY, 11222"
66921687_taxi,66921687,Unspecified,"425 WHITE PLAINS ROAD, BRONX, NY, 10473"
66925121_taxi,66925121,Unspecified,"6 AVENUE AND WEST   50 STREET, MANHATTAN, NY, 10020"
66922830_taxi,66922830,Unspecified,"2515 EAST TREMONT AVENUE, BRONX, NY, 10461"
66918475_taxi,66918475,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66921788_taxi,66921788,MANHATTAN,"200 WEST   43 STREET, MANHATTAN (NEW YORK), NY, 10036"
66926230_taxi,66926230,MANHATTAN,"1065 AVENUE OF THE AMERICAS, MANHATTAN (NEW YORK), NY, 10018"
66925140_taxi,66925140,MANHATTAN,"1025 AVENUE OF THE AMERICAS, MANHATTAN (NEW YORK), NY, 10018"
66921789_taxi,66921789,MANHATTAN,"1018 AVENUE OF THE AMERICAS, MANHATTAN (NEW YORK), NY, 10018"
66919547_taxi,66919547,Unspecified,"1293 BROADWAY, MANHATTAN (NEW YORK), NY, 10001"
66918456_taxi,66918456,MANHATTAN,"463 8 AVENUE, MANHATTAN (NEW YORK), NY, 10001"
66926231_taxi,66926231,MANHATTAN,"390 9 AVENUE, MANHATTAN (NEW YORK), NY, 10001"
66919577_taxi,66919577,MANHATTAN,"385 WEST   34 STREET, MANHATTAN (NEW YORK), NY, 10001"
66920591_taxi,66920591,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66921758_taxi,66921758,Unspecified,"446 7 AVENUE, MANHATTAN (NEW YORK), NY, 10123"
66919548_taxi,66919548,Unspecified,"34 7 AVENUE, MANHATTAN (NEW YORK), NY, 10011"
66921773_taxi,66921773,Unspecified,"METROPOLITAN MUSEUM, MANHATTAN (NEW YORK) ,NY, 10028"
66926208_taxi,66926208,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66918327_taxi,66918327,Unspecified,"9 AVENUE AND WEST   17 STREET, MANHATTAN, NY, 10011"
66921870_taxi,66921870,Unspecified,"67 WEST   49 STREET, MANHATTAN (NEW YORK), NY, 10112"
66919495_taxi,66919495,Unspecified,"EAST HOUSTON STREET AND MULBERRY STREET, MANHATTAN, NY, 1001"
66923968_taxi,66923968,Unspecified,"EAST   76 STREET AND LEXINGTON AVENUE, MANHATTAN, NY, 10021"
66919549_taxi,66919549,Unspecified,"6 AVENUE AND WEST   35 STREET, MANHATTAN, NY, 10001"
66919580_taxi,66919580,Unspecified,"171 AVENUE A, MANHATTAN (NEW YORK), NY, 10009"
66921790_taxi,66921790,Unspecified,"402 EAST   14 STREET, MANHATTAN (NEW YORK), NY, 10009"
66918457_taxi,66918457,Unspecified,"112 ST MARKS PLACE, MANHATTAN (NEW YORK), NY, 10009"
66920618_taxi,66920618,Unspecified,"310 WEST BROADWAY, MANHATTAN (NEW YORK), NY, 10013"
66924053_taxi,66924053,Unspecified,"91 ST MARKS PLACE, MANHATTAN (NEW YORK), NY, 10009"
66919576_taxi,66919576,Unspecified,"157 1 AVENUE, MANHATTAN (NEW YORK), NY, 10003"
66920695_taxi,66920695,Unspecified,"240 CENTRAL PARK SOUTH, MANHATTAN (NEW YORK), NY, 10019"
66922936_taxi,66922936,Unspecified,"181 MIDDLETON STREET, BROOKLYN, NY, 11206"
66924054_taxi,66924054,Unspecified,"240 CENTRAL PARK SOUTH, MANHATTAN (NEW YORK), NY, 10019"
66919578_taxi,66919578,Unspecified,"312 1 AVENUE, MANHATTAN (NEW YORK), NY, 10009"
66926232_taxi,66926232,Unspecified,"240 CENTRAL PARK SOUTH, MANHATTAN (NEW YORK), NY, 10019"
66925143_taxi,66925143,Unspecified,"200 CENTRAL PARK SOUTH, MANHATTAN (NEW YORK), NY, 10019"
66922937_taxi,66922937,Unspecified,"36 CENTRAL PARK WEST, MANHATTAN (NEW YORK), NY, 10023"
66926207_taxi,66926207,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66918458_taxi,66918458,Unspecified,"150 WEST   57 STREET, MANHATTAN (NEW YORK), NY, 10019"
66918330_taxi,66918330,Unspecified,"130 5 AVENUE, MANHATTAN (NEW YORK), NY, 10011"
66923963_taxi,66923963,Unspecified,"539 WEST  112 STREET, MANHATTAN (NEW YORK), NY, 10025"
66921688_taxi,66921688,Unspecified,"36 CENTRAL PARK SOUTH, MANHATTAN (NEW YORK), NY, 10019"
66921792_taxi,66921792,Unspecified,"6 AVENUE AND WEST   44 STREET, MANHATTAN, NY, 10036"
66919550_taxi,66919550,Unspecified,"226 WEST   52 STREET, MANHATTAN (NEW YORK), NY, 10019"
66923967_taxi,66923967,Unspecified,"41-24 54 STREET, QUEENS (WOODSIDE), NY, 11377"
66918365_taxi,66918365,Unspecified,"3 AVENUE AND EAST   19 STREET, MANHATTAN, NY, 10003"
66925022_taxi,66925022,Unspecified,"55 CHURCH STREET, MANHATTAN (NEW YORK), NY, 10007"
66919476_taxi,66919476,Unspecified,"38-25 GREENPOINT AVENUE, QUEENS (LONG ISLAND CITY), NY, 1110"
66926146_taxi,66926146,Unspecified,"51 ST NICHOLAS AVENUE, MANHATTAN (NEW YORK), NY, 10026"
66925057_taxi,66925057,Unspecified,"173 HENRY STREET, MANHATTAN (NEW YORK), NY, 10002"
66926148_taxi,66926148,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66922851_taxi,66922851,Unspecified,"173 HENRY STREET, MANHATTAN (NEW YORK), NY, 10002"
66918455_taxi,66918455,Unspecified,"102 EAST   29 STREET, MANHATTAN (NEW YORK), NY, 10016"
66921791_taxi,66921791,Unspecified,"126 EAST   29 STREET, BROOKLYN, NY, 11226"
66920592_taxi,66920592,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66919494_taxi,66919494,Unspecified,"89 EAST   42 STREET, MANHATTAN (NEW YORK), NY, 10017"
66920694_taxi,66920694,Unspecified,"AMBER STREET AND LINDEN BOULEVARD, BROOKLYN, NY, 11208"
66920593_taxi,66920593,Unspecified,"11 AVENUE AND WEST   48 STREET, MANHATTAN, NY, 10036"
66925141_taxi,66925141,Unspecified,"656 AVENUE OF THE AMERICAS, MANHATTAN (NEW YORK), NY, 10010"
66926152_taxi,66926152,Unspecified,"1150 BROADWAY, MANHATTAN (NEW YORK), NY, 10001"
66925142_taxi,66925142,Unspecified,"46 RIVINGTON STREET, MANHATTAN (NEW YORK), NY, 10002"
66920697_taxi,66920697,Unspecified,"213 WEST   21 STREET, MANHATTAN (NEW YORK), NY, 10011"
66920696_taxi,66920696,Unspecified,"50 RIVINGTON STREET, MANHATTAN (NEW YORK), NY, 10002"
66923986_taxi,66923986,Unspecified,"5 AVENUE AND WEST   54 STREET, MANHATTAN, NY, 10022"
66920619_taxi,66920619,Unspecified,"EAST   72 STREET AND PARK AVENUE, MANHATTAN, NY, 10021"
66922918_taxi,66922918,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66919579_taxi,66919579,Unspecified,"2201 59 STREET, BROOKLYN, NY, 11204"
66921709_taxi,66921709,Unspecified,"9 GREAT JONES STREET, MANHATTAN (NEW YORK), NY, 10012"
66925056_taxi,66925056,Unspecified,"CANAL STREET AND ESSEX STREET, MANHATTAN, NY, 10002"
66922818_taxi,66922818,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66919496_taxi,66919496,Unspecified,"304 BOWERY, MANHATTAN (NEW YORK), NY, 10012"
66922850_taxi,66922850,Unspecified,"2 AVENUE AND EAST    4 STREET, MANHATTAN, NY, 10003"
66926147_taxi,66926147,Unspecified,"30 LINCOLN CENTER PLAZA, MANHATTAN (NEW YORK), NY, 10023"
66915771_taxi,66915771,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66907449_taxi,66907449,Unspecified,"2 WEST    8 STREET, MANHATTAN (NEW YORK), NY, 10011"
66917206_taxi,66917206,Unspecified,"336 EAST   86 STREET, MANHATTAN (NEW YORK), NY, 10028"
66917126_taxi,66917126,Unspecified,"350 WEST   14 STREET, MANHATTAN (NEW YORK), NY, 10014"
66907324_taxi,66907324,Unspecified,"285 WEST   12 STREET, MANHATTAN (NEW YORK), NY, 10014"
66911448_taxi,66911448,Unspecified,"635 WEST   42 STREET, MANHATTAN (NEW YORK), NY, 10036"
66908662_taxi,66908662,Unspecified,"7 AVENUE AND WEST   58 STREET, MANHATTAN, NY, 10019"
66914292_taxi,66914292,Unspecified,"8 AVENUE AND WEST   34 STREET, MANHATTAN, NY, 10001"
66912901_taxi,66912901,Unspecified,"8855 BAY PARKWAY, BROOKLYN, NY, 11214"
66910009_taxi,66910009,Unspecified,"68 NORTH   10 STREET, BROOKLYN, NY, 11249"
66907282_taxi,66907282,Unspecified,"217 WYCKOFF STREET, BROOKLYN, NY, 11217"
66912875_taxi,66912875,Unspecified,"140 7 AVENUE, MANHATTAN (NEW YORK), NY, 10011"
66910165_taxi,66910165,Unspecified,"39 NEVINS STREET, BROOKLYN, NY, 11217"
66910184_taxi,66910184,Unspecified,"11-01 43 AVENUE, QUEENS (LONG ISLAND CITY), NY, 11101"
66917239_taxi,66917239,Unspecified,"647 BROADWAY, MANHATTAN (NEW YORK), NY, 10012"
66915803_taxi,66915803,Unspecified,"5 GREENWICH AVENUE, MANHATTAN (NEW YORK), NY, 10014"
66908754_taxi,66908754,Unspecified,"217 1 AVENUE, MANHATTAN (NEW YORK), NY, 10003"
66917246_taxi,66917246,Unspecified,"250 EAST HOUSTON STREET, MANHATTAN (NEW YORK), NY, 10002"
66910163_taxi,66910163,Unspecified,"250 EAST HOUSTON STREET, MANHATTAN (NEW YORK), NY, 10002"
66912876_taxi,66912876,Unspecified,"234 WEST   42 STREET, MANHATTAN (NEW YORK), NY, 10036"
66915802_taxi,66915802,Unspecified,"738 BROADWAY, MANHATTAN (NEW YORK), NY, 10003"
66911555_taxi,66911555,Unspecified,"222 EAST   12 STREET, MANHATTAN (NEW YORK), NY, 10003"
66913031_taxi,66913031,Unspecified,"112 EAST   12 STREET, MANHATTAN (NEW YORK), NY, 10003"
66917237_taxi,66917237,Unspecified,"1 EAST   12 STREET, MANHATTAN (NEW YORK), NY, 10003"
66907440_taxi,66907440,Unspecified,"126 5 AVENUE, MANHATTAN (NEW YORK), NY, 10011"
66917245_taxi,66917245,Unspecified,"126 5 AVENUE, MANHATTAN (NEW YORK), NY, 10011"
66914440_taxi,66914440,Unspecified,"95 5 AVENUE, MANHATTAN (NEW YORK), NY, 10003"
66910164_taxi,66910164,Unspecified,"120 5 AVENUE, MANHATTAN (NEW YORK), NY, 10011"
66908724_taxi,66908724,Unspecified,"6 AVENUE AND WEST   34 STREET, MANHATTAN, NY, 10001"
66910166_taxi,66910166,Unspecified,"3 EAST   16 STREET, MANHATTAN (NEW YORK), NY, 10003"
66914439_taxi,66914439,Unspecified,"261 5 AVENUE, MANHATTAN (NEW YORK), NY, 10016"
66907450_taxi,66907450,Unspecified,"165 FRANKLIN AVENUE, BROOKLYN, NY, 11205"
66911556_taxi,66911556,Unspecified,"48 DIVISION AVENUE, BROOKLYN, NY, 11249"
66917240_taxi,66917240,Unspecified,"101 SUFFOLK STREET, MANHATTAN (NEW YORK), NY, 10002"
66908761_taxi,66908761,Unspecified,"261 5 AVENUE, MANHATTAN (NEW YORK), NY, 10016"
66907443_taxi,66907443,Unspecified,"14 UNION SQUARE EAST, MANHATTAN (NEW YORK), NY, 10003"
66917242_taxi,66917242,Unspecified,"788 BROADWAY, MANHATTAN (NEW YORK), NY, 10003"
66907451_taxi,66907451,Unspecified,"436 AVENUE OF THE AMERICAS, MANHATTAN (NEW YORK), NY, 10011"
66915804_taxi,66915804,Unspecified,"385 AVENUE OF THE AMERICAS, MANHATTAN (NEW YORK), NY, 10014"
66914444_taxi,66914444,Unspecified,"28 EAST   10 STREET, MANHATTAN (NEW YORK), NY, 10003"
66908755_taxi,66908755,Unspecified,"4 IRVING PLACE, MANHATTAN (NEW YORK), NY, 10003"
66914441_taxi,66914441,Unspecified,"14 UNION SQUARE EAST, MANHATTAN (NEW YORK), NY, 10003"
66908759_taxi,66908759,Unspecified,"28 EAST   16 STREET, MANHATTAN (NEW YORK), NY, 10003"
66913032_taxi,66913032,Unspecified,"130 5 AVENUE, MANHATTAN (NEW YORK), NY, 10011"
66910058_taxi,66910058,Unspecified,"3 AVENUE AND EAST   19 STREET, MANHATTAN, NY, 10003"
66915805_taxi,66915805,Unspecified,"6 AVENUE AND WEST   46 STREET, MANHATTAN, NY, 10036"
66917241_taxi,66917241,Unspecified,"101 5 AVENUE, MANHATTAN (NEW YORK), NY, 10003"
66917207_taxi,66917207,Unspecified,"727 5 AVENUE, MANHATTAN (NEW YORK), NY, 10022"
66907448_taxi,66907448,Unspecified,"96 3 AVENUE, MANHATTAN (NEW YORK), NY, 10003"
66908756_taxi,66908756,Unspecified,"738 BROADWAY, MANHATTAN (NEW YORK), NY, 10003"
66910161_taxi,66910161,Unspecified,"1 EAST HOUSTON STREET, MANHATTAN (NEW YORK), NY, 10012"
66913030_taxi,66913030,Unspecified,"50 ASTOR PLACE, MANHATTAN (NEW YORK), NY, 10003"
66907446_taxi,66907446,Unspecified,"80 EAST   11 STREET, MANHATTAN (NEW YORK), NY, 10003"
66911553_taxi,66911553,Unspecified,"50 WEST    4 STREET, MANHATTAN (NEW YORK), NY, 10012"
66907445_taxi,66907445,Unspecified,"61 WASHINGTON SQUARE SOUTH, MANHATTAN (NEW YORK), NY, 10012"
66910168_taxi,66910168,Unspecified,"217 BOWERY, MANHATTAN (NEW YORK), NY, 10002"
66912845_taxi,66912845,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66907452_taxi,66907452,Unspecified,"231 AVENUE OF THE AMERICAS, MANHATTAN (NEW YORK), NY, 10014"
66911557_taxi,66911557,Unspecified,"32 FORSYTH STREET, MANHATTAN (NEW YORK), NY, 10002"
66914443_taxi,66914443,Unspecified,"274 JAY STREET, BROOKLYN, NY, 11201"
66911558_taxi,66911558,Unspecified,"33 NEVINS STREET, BROOKLYN, NY, 11217"
66909979_taxi,66909979,BRONX,"3511 BOSTON ROAD, BRONX, NY, 10469"
66907326_taxi,66907326,Unspecified,"TIMES SQUARE, MANHATTAN (NEW YORK) ,NY, 10036"
66907327_taxi,66907327,Unspecified,"145 EAST   22 STREET, MANHATTAN (NEW YORK), NY, 10010"
66915807_taxi,66915807,Unspecified,"505 1 AVENUE, MANHATTAN (NEW YORK), NY, 10016"
66910045_taxi,66910045,Unspecified,"179 PRINCE STREET, MANHATTAN (NEW YORK), NY, 10012"
66907441_taxi,66907441,Unspecified,"247 EAST   20 STREET, MANHATTAN (NEW YORK), NY, 10003"
66910167_taxi,66910167,Unspecified,"1716 2 AVENUE, MANHATTAN (NEW YORK), NY, 10128"
66907276_taxi,66907276,Unspecified,"PENNSYLVANIA STATION, MANHATTAN (NEW YORK) ,NY, 10121"
66911433_taxi,66911433,MANHATTAN,"125 DELANCEY STREET, MANHATTAN (NEW YORK), NY, 10002"
66907447_taxi,66907447,Unspecified,"6 AVENUE AND WEST   45 STREET, MANHATTAN, NY, 10036"
66917243_taxi,66917243,Unspecified,"1011 LINCOLN PLACE, BROOKLYN, NY, 11213"
66910008_taxi,66910008,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66907442_taxi,66907442,Unspecified,"2050 GRAND CONCOURSE, BRONX, NY, 10457"
66907325_taxi,66907325,Unspecified,"6 AVENUE AND WEST   34 STREET, MANHATTAN, NY, 10001"
66908757_taxi,66908757,Unspecified,"1010 LINCOLN PLACE, BROOKLYN, NY, 11213"
66908758_taxi,66908758,Unspecified,"3 AVENUE AND EAST   40 STREET, MANHATTAN, NY, 10016"
